epoch,train_loss,val_loss,val_tf_f1_micro,val_tf_prec_micro,val_tf_rec_micro,val_tf_f1_macro,val_tf_prec_macro,val_tf_rec_macro,val_tf_dice,val_tf_dice_soft,val_tf_bal_acc,val_tf_acc,val_tf_present_frac,val_tf_pred_pos_frac,val_tf_tgt_pos_frac,val_time_f1_micro,val_time_prec_micro,val_time_rec_micro,val_time_f1_macro,val_time_prec_macro,val_time_rec_macro,val_time_dice,val_time_dice_soft,val_time_bal_acc,val_time_acc,val_time_present_frac,val_time_pred_pos_frac,val_time_tgt_pos_frac,train_tf_f1_micro,train_tf_prec_micro,train_tf_rec_micro,train_tf_f1_macro,train_tf_prec_macro,train_tf_rec_macro,train_tf_dice,train_tf_dice_soft,train_tf_bal_acc,train_tf_acc,train_tf_present_frac,train_tf_pred_pos_frac,train_tf_tgt_pos_frac,train_time_f1_micro,train_time_prec_micro,train_time_rec_micro,train_time_f1_macro,train_time_prec_macro,train_time_rec_macro,train_time_dice,train_time_dice_soft,train_time_bal_acc,train_time_acc,train_time_present_frac,train_time_pred_pos_frac,train_time_tgt_pos_frac
33,0.044256,0.509888,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.370252,0.384506,0.358707,0.41217,0.479361,0.294565,0.370252,0.330476,0.611059,0.897539,0.577778,0.079329,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.886514,0.838454,0.940836,0.844651,0.799054,0.909849,0.886514,0.846065,0.945315,0.979723,1.0,0.094473,0.084162
34,0.042563,0.535293,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.366464,0.380904,0.354342,0.415673,0.453299,0.250033,0.366464,0.328327,0.589489,0.896985,0.577778,0.079061,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.890343,0.842681,0.944088,0.849732,0.803376,0.915096,0.890343,0.851185,0.948208,0.980422,1.0,0.094308,0.084152
35,0.041451,0.550938,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.357012,0.366678,0.349545,0.480151,0.399571,0.306875,0.357012,0.323864,0.612873,0.893879,0.577778,0.081551,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.893975,0.847386,0.946307,0.85217,0.80673,0.91707,0.893975,0.855484,0.949521,0.981122,0.99816,0.093981,0.084137
36,0.040031,0.590403,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.298349,0.326161,0.276714,0.420061,0.382157,0.281647,0.298349,0.272037,0.609384,0.890488,0.577778,0.072007,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.898061,0.852889,0.948631,0.860302,0.815528,0.922209,0.898061,0.861479,0.952474,0.98189,0.999387,0.093606,0.084137
37,0.038726,0.654099,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.337489,0.350595,0.328016,0.447918,0.41943,0.30126,0.337489,0.311571,0.616691,0.893132,0.577778,0.077752,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.901209,0.857766,0.94954,0.864865,0.822207,0.922595,0.901209,0.865922,0.952996,0.982496,1.0,0.093145,0.084125
38,0.037508,0.600857,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.382697,0.378688,0.388415,0.433956,0.427682,0.325142,0.382697,0.353673,0.616863,0.893484,0.577778,0.088886,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.90461,0.861869,0.952104,0.870534,0.826988,0.928229,0.90461,0.870157,0.956085,0.983109,1.0,0.092969,0.084136
39,0.036052,0.500481,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.362382,0.384627,0.345088,0.417639,0.464084,0.312449,0.362382,0.331223,0.623559,0.897997,0.577778,0.075286,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.907616,0.865712,0.954051,0.872016,0.829735,0.929105,0.907616,0.875061,0.956767,0.98366,1.0,0.092732,0.084123
40,0.035597,0.685886,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.363043,0.38284,0.347134,0.443982,0.434284,0.283486,0.363043,0.33938,0.605006,0.898419,0.577778,0.07679,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.909155,0.86793,0.954807,0.87316,0.831792,0.928586,0.909155,0.876992,0.956662,0.983954,0.998773,0.092567,0.084121
41,0.03503,0.689298,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.355767,0.349737,0.364831,0.406489,0.481396,0.278232,0.355767,0.331465,0.601707,0.887419,0.577778,0.090327,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.910847,0.869723,0.956251,0.876199,0.834254,0.932043,0.910847,0.879413,0.958488,0.984257,0.999387,0.092525,0.084136
42,0.033839,0.574409,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.371587,0.377174,0.368735,0.434907,0.431714,0.31617,0.371587,0.340694,0.614077,0.895159,0.577778,0.08354,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.913582,0.87355,0.957776,0.878625,0.837937,0.931993,0.913582,0.883146,0.958711,0.984772,0.99816,0.092267,0.084132
43,0.03277,0.640229,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.356143,0.380198,0.338095,0.458351,0.417189,0.293839,0.356143,0.323347,0.613616,0.893758,0.577778,0.07956,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.915925,0.876727,0.959042,0.883462,0.842481,0.936579,0.915925,0.886579,0.961217,0.985195,1.0,0.092066,0.084148
44,0.032165,0.551878,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.341,0.361414,0.326746,0.439084,0.415123,0.311173,0.341,0.305025,0.623021,0.894333,0.577778,0.076052,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.918544,0.88052,0.960215,0.885451,0.845515,0.936837,0.918544,0.889815,0.961612,0.985684,0.999387,0.091771,0.084138
45,0.030912,0.613294,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.37869,0.385364,0.373847,0.440727,0.400609,0.299646,0.37869,0.353236,0.608529,0.897108,0.577778,0.082959,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.920929,0.883679,0.961646,0.888494,0.849709,0.939284,0.920929,0.893372,0.963028,0.986113,1.0,0.091573,0.084135
46,0.030707,0.720013,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.315657,0.351984,0.290565,0.432097,0.399812,0.27869,0.315657,0.288835,0.602144,0.89333,0.577778,0.071162,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.920959,0.883456,0.961982,0.889716,0.851816,0.939663,0.920959,0.893477,0.963181,0.986122,1.0,0.091622,0.084136
47,0.029387,0.641821,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.376446,0.38912,0.366471,0.460086,0.438221,0.322942,0.376446,0.35664,0.620377,0.897361,0.577778,0.080706,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.924646,0.88765,0.96504,0.894298,0.856433,0.942984,0.924646,0.898538,0.965079,0.986771,1.0,0.091483,0.084134
48,0.029383,0.642547,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.376234,0.382992,0.37235,0.425201,0.467639,0.284742,0.376234,0.351049,0.602597,0.895921,0.577778,0.084208,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.925007,0.889362,0.963837,0.896113,0.857832,0.944286,0.925007,0.898864,0.965871,0.986858,0.998773,0.091182,0.084122
49,0.02863,0.673434,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.36046,0.376639,0.347506,0.48549,0.392839,0.258975,0.36046,0.338084,0.587967,0.895425,0.577778,0.079741,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.927128,0.891992,0.965361,0.896271,0.858528,0.944508,0.927128,0.901675,0.966133,0.987236,1.0,0.091076,0.084141
50,0.027944,0.730047,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.31318,0.334788,0.29622,0.437439,0.406978,0.307358,0.31318,0.293075,0.617103,0.891743,0.577778,0.074323,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.92842,0.894141,0.965623,0.89968,0.863145,0.945583,0.92842,0.904628,0.966801,0.987476,0.999387,0.090876,0.084137
